model,horizon_day,WAPE,MAE,RMSE,Biais,MASE
ets,1,0.07987810088564821,426.11563423705957,653.0724132086734,0.001004292349862683,0.5319067576078288
ets,2,0.10478539418622101,410.9572814996564,611.1691270281738,0.053519262361465175,0.517164424692354
ets,3,0.11540672253187219,600.4411442757415,1049.2926372719226,0.011096033507045104,0.7057270059358739
ets,4,0.11411904956995614,718.0872458595281,981.1171076582739,0.10250716056967087,0.8770656900737929
ets,5,0.075811850708379,556.5738779367023,896.6417759440475,0.02050071870494852,0.694147285955992
ets,6,0.12536726292919034,589.3799950042002,831.834982505481,0.11384365461381064,0.7192239672358132
ets,7,0.13660757211188732,548.0785863244532,790.8025715578934,0.12699206259018592,0.6806054132684185
ets,8,0.11813105700802912,570.987472810969,816.948260720815,0.10526097027919112,0.6983430171037632
ets,9,0.12803476279707884,500.2249707593914,740.8053538343954,0.05814730665073996,0.5979380556154585
ets,10,0.1021291362350692,530.2760782925853,807.7208679425389,0.013608072730107827,0.6638767266123922
ets,11,0.15934987700786224,1088.4701106751158,1654.3854306103462,0.015965407523526504,1.2919195214500458
ets,12,0.19437290928973391,1466.7190773039881,2212.356226417224,-0.006840087595847352,1.713863712718707
ets,13,0.10751539988849973,555.5249347398836,839.9014447642472,0.01388515291263253,0.6595130459080827
ets,14,0.11011420685529111,509.8714174274505,892.9879155929402,-0.023021025885515134,0.6035905532958845
lightgbm,1,0.06740217452483079,359.56188277087097,557.288421737718,-0.018054454665299053,0.44206035806140054
lightgbm,2,0.08222077903266937,322.4612370498955,495.5731620980525,0.0013054582505203402,0.42587349318741313
lightgbm,3,0.0779686904245566,405.65756196111215,706.0453570675053,-0.018457690256122154,0.5147931307364474
lightgbm,4,0.06751037904904678,424.8049939159813,702.7802362045995,0.006494315067673729,0.5516491150659983
lightgbm,5,0.08871433989962758,651.2977024721707,1034.7710162731182,-0.04336728284490535,0.7658799286520683
lightgbm,6,0.06530532875931569,307.0151923126276,449.7854948414131,0.003150248039584828,0.4304635392641724
lightgbm,7,0.07605556995442836,305.1399612649755,458.7228614890267,0.020494386124878042,0.3977954714565375
lightgbm,8,0.09762176369706697,471.8556284563617,760.7339219074132,0.03647411469649336,0.6105293661961247
lightgbm,9,0.07514699232755655,293.5952800512848,471.5349433305253,-0.03182936348747737,0.3791089668203042
lightgbm,10,0.10587330992133999,549.7166200615092,861.4394820475582,-0.023248234488475263,0.6164712929541483
lightgbm,11,0.0931195461734633,636.071044626192,975.4214283223681,-0.01696310526116696,0.7552748112098322
lightgbm,12,0.11659816732482922,879.8384354019751,1441.186020559385,-0.03415383099789749,1.0254991921922982
